Qu1nqu3l4t3r415$, quinquelateral
s3squ1octav4<8, sesquioctava
Quinqu3$ep7a731#, quinqueseptate
U17r4san9u1n3%1, ultrasanguine
13p1dosiren0id7(, lepidosirenoid
N0nc1rcu14ti0n0(, noncirculation
Nonsyn7act1cal1y4, nonsyntactically
Rhynch0ph0ra:4, rhynchophora
he41th9uard(1, healthguard
dir19i811ity]6, dirigibility
rh1z09en3s1s0], rhizogenesis
Phy110cyanin1!, phyllocyanin
3di70r1alizer(7, editorializer
Exp0$7ul4t3s)4, expostulates
St1pendi4ry{5+, stipendiary
repulveriz3^3, repulverize
B3lle7r1$ts<1, belletrists
Hem4t0cry$7a1l1n$0, hematocystallin
